# distribution_name: NOAA14 TX 2-1Q90,
# source_note: CUMULATIVE PERCENTAGES OF TOTAL PRECIPITATION FOR FIRST-QUARTILE CASES, 90 Percentile",
fraction_time,fraction_cumulative_depth
0,0
0.020833333,0.005
0.041666667,0.0082
0.0625,0.0189
0.083333333,0.0413
0.104166667,0.0758
0.125,0.1203
0.145833333,0.1714
0.166666667,0.2253
0.1875,0.2784
0.208333333,0.3278
0.229166667,0.3715
0.25,0.4086
0.270833333,0.4388
0.291666667,0.4627
0.3125,0.4813
0.333333333,0.4959
0.354166667,0.5079
0.375,0.5184
0.395833333,0.5285
0.416666667,0.5388
0.4375,0.5498
0.458333333,0.5616
0.479166667,0.5741
0.5,0.587
0.520833333,0.6002
0.541666667,0.6132
0.5625,0.6259
0.583333333,0.6383
0.604166667,0.6504
0.625,0.6626
0.645833333,0.675
0.666666667,0.688
0.6875,0.7021
0.708333333,0.7174
0.729166667,0.7341
0.75,0.7522
0.770833333,0.7714
0.791666667,0.7917
0.8125,0.8124
0.833333333,0.8334
0.854166667,0.8543
0.875,0.875
0.895833333,0.8957
0.916666667,0.9165
0.9375,0.9378
0.958333333,0.9594
0.979166667,0.9807
1,1
