# distribution_name: NOAA14 TX 2-2Q90,
# source_note: CUMULATIVE PERCENTAGES OF TOTAL PRECIPITATION FOR SECOND-QUARTILE CASES, 90 Percentile",
fraction_time,fraction_cumulative_depth
0,0
0.020833333,0.0017
0.041666667,0.0048
0.0625,0.0057
0.083333333,0.0057
0.104166667,0.007
0.125,0.0099
0.145833333,0.0141
0.166666667,0.0183
0.1875,0.0216
0.208333333,0.0239
0.229166667,0.0259
0.25,0.0293
0.270833333,0.0365
0.291666667,0.0498
0.3125,0.0713
0.333333333,0.1022
0.354166667,0.1429
0.375,0.1926
0.395833333,0.2494
0.416666667,0.3107
0.4375,0.3735
0.458333333,0.4346
0.479166667,0.4913
0.5,0.5414
0.520833333,0.5836
0.541666667,0.6175
0.5625,0.6438
0.583333333,0.6638
0.604166667,0.6794
0.625,0.6924
0.645833333,0.7048
0.666666667,0.7179
0.6875,0.7325
0.708333333,0.7487
0.729166667,0.7661
0.75,0.7839
0.770833333,0.8013
0.791666667,0.8179
0.8125,0.8336
0.833333333,0.8493
0.854166667,0.8661
0.875,0.8853
0.895833333,0.9072
0.916666667,0.9309
0.9375,0.9536
0.958333333,0.9717
0.979166667,0.9842
1,1
