# distribution_name: NOAA14 TX 2-3Q90,
# source_note: CUMULATIVE PERCENTAGES OF TOTAL PRECIPITATION FOR THIRD-QUARTILE CASES, 90 Percentile",
fraction_time,fraction_cumulative_depth
0,0
0.020833333,0.0017
0.041666667,0.0051
0.0625,0.0066
0.083333333,0.0067
0.104166667,0.007
0.125,0.0084
0.145833333,0.0107
0.166666667,0.0135
0.1875,0.016
0.208333333,0.0177
0.229166667,0.0184
0.25,0.0186
0.270833333,0.0186
0.291666667,0.0192
0.3125,0.0206
0.333333333,0.0231
0.354166667,0.0267
0.375,0.0309
0.395833333,0.0353
0.416666667,0.0394
0.4375,0.0429
0.458333333,0.0462
0.479166667,0.0497
0.5,0.055
0.520833333,0.0635
0.541666667,0.0775
0.5625,0.0989
0.583333333,0.1296
0.604166667,0.1707
0.625,0.2228
0.645833333,0.2849
0.666666667,0.3552
0.6875,0.4308
0.708333333,0.508
0.729166667,0.5827
0.75,0.6511
0.770833333,0.7101
0.791666667,0.758
0.8125,0.7949
0.833333333,0.8226
0.854166667,0.8442
0.875,0.8638
0.895833333,0.8849
0.916666667,0.9093
0.9375,0.936
0.958333333,0.9615
0.979166667,0.9819
1,1
