# distribution_name: NOAA14 TX 2-4Q90,
# source_note: CUMULATIVE PERCENTAGES OF TOTAL PRECIPITATION FOR FOURTH-QUARTILE CASES, 90 Percentile",
fraction_time,fraction_cumulative_depth
0,0
0.020833333,0.0022
0.041666667,0.0046
0.0625,0.0072
0.083333333,0.0098
0.104166667,0.0124
0.125,0.0148
0.145833333,0.017
0.166666667,0.019
0.1875,0.0207
0.208333333,0.0222
0.229166667,0.0234
0.25,0.0245
0.270833333,0.0254
0.291666667,0.0263
0.3125,0.0272
0.333333333,0.0282
0.354166667,0.0294
0.375,0.0309
0.395833333,0.0327
0.416666667,0.0348
0.4375,0.0371
0.458333333,0.0396
0.479166667,0.0423
0.5,0.0451
0.520833333,0.0479
0.541666667,0.0509
0.5625,0.0541
0.583333333,0.0579
0.604166667,0.0624
0.625,0.0682
0.645833333,0.0757
0.666666667,0.0854
0.6875,0.0977
0.708333333,0.113
0.729166667,0.1318
0.75,0.1544
0.770833333,0.1813
0.791666667,0.213
0.8125,0.2505
0.833333333,0.2951
0.854166667,0.3488
0.875,0.414
0.895833333,0.4931
0.916666667,0.5879
0.9375,0.6978
0.958333333,0.8166
0.979166667,0.9285
1,1
