# distribution_name: NOAA14 TX 2-AQ90,
# source_note: CUMULATIVE PERCENTAGES OF TOTAL PRECIPITATION FOR ALL CASES, 90 Percentile",
fraction_time,fraction_cumulative_depth
0,0
0.020833333,0.0019
0.041666667,0.0053
0.0625,0.0092
0.083333333,0.013
0.104166667,0.0165
0.125,0.0201
0.145833333,0.0238
0.166666667,0.0281
0.1875,0.0329
0.208333333,0.0386
0.229166667,0.045
0.25,0.0522
0.270833333,0.06
0.291666667,0.0683
0.3125,0.0771
0.333333333,0.0863
0.354166667,0.0958
0.375,0.1058
0.395833333,0.1163
0.416666667,0.1276
0.4375,0.1398
0.458333333,0.1533
0.479166667,0.1681
0.5,0.1845
0.520833333,0.2028
0.541666667,0.2229
0.5625,0.245
0.583333333,0.2692
0.604166667,0.2953
0.625,0.3234
0.645833333,0.3533
0.666666667,0.3851
0.6875,0.4185
0.708333333,0.4536
0.729166667,0.4903
0.75,0.5287
0.770833333,0.5685
0.791666667,0.6098
0.8125,0.6524
0.833333333,0.6961
0.854166667,0.7404
0.875,0.7849
0.895833333,0.8288
0.916666667,0.8712
0.9375,0.9109
0.958333333,0.9466
0.979166667,0.9768
1,1
