Point precipitation frequency estimates (inches)
NOAA Atlas 14 Volume 11 Version 2
Data type: Precipitation depth
Time series type: Annual maximum
Project area: Texas
Location name (ESRI Maps): Arlington, Texas, USA
Station Name: -
Latitude: 32.6840 Degree
Longitude: -97.2154 Degree
Elevation (USGS): 593 ft


PRECIPITATION FREQUENCY ESTIMATES
by duration for AEP:, '1/2,'1/5,'1/10,'1/25,'1/50,'1/100,'1/200,'1/500,'1/1000
5-min:, 0.444,0.580,0.682,0.818,0.921,1.03,1.13,1.28,1.40
10-min:, 0.712,0.929,1.10,1.31,1.48,1.65,1.82,2.04,2.21
15-min:, 0.886,1.15,1.36,1.62,1.83,2.03,2.25,2.54,2.77
30-min:, 1.23,1.60,1.88,2.24,2.52,2.80,3.10,3.51,3.83
60-min:, 1.60,2.08,2.45,2.94,3.31,3.69,4.10,4.66,5.11
2-hr:, 1.97,2.60,3.09,3.74,4.25,4.78,5.35,6.15,6.79
3-hr:, 2.19,2.92,3.48,4.26,4.86,5.49,6.18,7.14,7.92
6-hr:, 2.59,3.49,4.20,5.17,5.93,6.74,7.61,8.85,9.84
12-hr:, 3.05,4.13,4.97,6.12,7.02,7.98,9.00,10.4,11.6
24-hr:, 3.56,4.82,5.80,7.13,8.17,9.27,10.4,12.1,13.5
2-day:, 4.12,5.54,6.65,8.17,9.37,10.6,12.0,13.9,15.5
3-day:, 4.49,6.03,7.23,8.88,10.2,11.5,13.0,15.1,16.8
4-day:, 4.76,6.39,7.66,9.41,10.8,12.2,13.8,16.0,17.8
7-day:, 5.34,7.17,8.60,10.6,12.1,13.7,15.5,18.0,19.9
10-day:, 5.84,7.81,9.36,11.5,13.1,14.9,16.8,19.4,21.5
20-day:, 7.48,9.77,11.5,13.9,15.7,17.6,19.6,22.5,24.9
30-day:, 8.85,11.4,13.4,16.0,17.9,19.9,22.1,25.2,27.7
45-day:, 10.8,13.9,16.3,19.4,21.7,24.1,26.7,30.2,33.1
60-day:, 12.5,16.1,18.9,22.6,25.4,28.2,31.2,35.2,38.4

Date/time (GMT):  Wed Sep 23 17:29:23 2026
pyRunTime:  0.007801055908203125
