Point precipitation frequency estimates (inches)
NOAA Atlas 14 Volume 11 Version 2
Data type: Precipitation depth
Time series type: Partial duration
Project area: Texas
Location name (ESRI Maps): Midlothian, Texas, USA
Station Name: -
Latitude: 32.4618 Degree
Longitude: -96.9297 Degree
Elevation (USGS): 662 ft


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 0.421,0.494,0.613,0.712,0.850,0.955,1.06,1.18,1.33,1.45
10-min:, 0.672,0.790,0.981,1.14,1.36,1.53,1.70,1.88,2.12,2.30
15-min:, 0.841,0.986,1.22,1.42,1.69,1.90,2.11,2.34,2.64,2.88
30-min:, 1.18,1.38,1.70,1.97,2.35,2.63,2.92,3.23,3.66,4.00
60-min:, 1.53,1.79,2.23,2.59,3.08,3.46,3.86,4.29,4.88,5.36
2-hr:, 1.86,2.21,2.76,3.24,3.91,4.43,4.99,5.60,6.45,7.14
3-hr:, 2.05,2.45,3.09,3.64,4.42,5.06,5.73,6.46,7.50,8.34
6-hr:, 2.40,2.91,3.68,4.36,5.36,6.16,7.03,7.98,9.35,10.5
12-hr:, 2.81,3.41,4.33,5.15,6.34,7.30,8.35,9.51,11.2,12.6
24-hr:, 3.27,3.98,5.06,6.01,7.39,8.51,9.72,11.1,13.1,14.7
2-day:, 3.84,4.64,5.90,6.99,8.56,9.80,11.1,12.7,15.0,16.9
3-day:, 4.21,5.07,6.44,7.61,9.29,10.6,12.0,13.7,16.1,18.1
4-day:, 4.47,5.38,6.81,8.04,9.80,11.2,12.7,14.4,16.9,18.9
7-day:, 5.02,6.01,7.57,8.91,10.8,12.4,14.0,15.8,18.4,20.5
10-day:, 5.49,6.55,8.21,9.64,11.7,13.3,15.0,16.8,19.5,21.6
20-day:, 7.16,8.33,10.3,11.9,14.1,15.7,17.4,19.3,22.0,24.2
30-day:, 8.55,9.84,12.0,13.8,16.1,17.8,19.5,21.4,24.2,26.5
45-day:, 10.4,12.0,14.6,16.6,19.4,21.3,23.3,25.4,28.4,30.7
60-day:, 12.1,13.8,16.8,19.2,22.4,24.7,27.0,29.4,32.5,34.9

Date/time (GMT):  Tue Aug 25 18:24:57 2026
pyRunTime:  0.007453441619873047
